section,id,title,year,desc,meta
design,1,Rootin Seongsu,2025,"루트인 성수는 성수동을 기반으로 한 라이프스타일 브랜드 프로젝트입니다. COLLAGE YOUR TASTE라는 콘셉트 아래, 도시의 감각과 취향을 콜라주 방식으로 재해석한 비주얼 아이덴티티 작업입니다.","카테고리 : 브랜드 아이덴티티;툴 : Illustrator / Photoshop;연도 : 2025"
design,2,Ritchynitche,2025,"Ritchynitche는 독립 뮤지션을 위한 머천다이즈 및 아트워크 디자인 프로젝트입니다. 음악적 에너지를 시각 언어로 번역하는 작업에 초점을 맞췄습니다.","카테고리 : 아트워크 디자인;툴 : Illustrator;연도 : 2025"
design,3,루트인 제주,2025,"루트인 제주는 제주에서 열린 복합 문화 이벤트의 비주얼 디렉팅 프로젝트입니다. 제주의 자연과 지역성을 현대적 감각으로 풀어낸 포스터 및 아이덴티티 시스템을 담고 있습니다.","카테고리 : 이벤트 아이덴티티;툴 : Illustrator / InDesign;연도 : 2025"
design,4,2026 연하장,2026,"2026년 새해를 맞이하여 제작한 연하장 시리즈입니다. 전통 문양과 현대적 타이포그래피를 결합해 동시대적인 새해 인사를 담아냈습니다.","카테고리 : 에디토리얼 디자인;툴 : Illustrator / Photoshop;연도 : 2026"
design,5,오늘의 평야,2025,"오늘의 평야는 국산 말차 브랜드의 브랜드 아이덴티티 및 패키지 디자인 프로젝트입니다. 한국의 차 문화를 현대적이고 감각적인 시각으로 재해석했습니다.","카테고리 : 브랜드 아이덴티티 / 패키지;툴 : Illustrator / Photoshop;연도 : 2025"
design,6,Daki,2025,"Daki는 한국 말차를 기반으로 한 음료 브랜드 프로젝트입니다. From Korean Matcha Fields to Your Cup이라는 슬로건 아래 자연에서 컵까지의 여정을 담은 브랜딩 작업입니다.","카테고리 : 브랜드 아이덴티티;툴 : Illustrator / Photoshop;연도 : 2025"
book,1,별들에게 물어봐,2026,"가장 한국인스러운 서울 여행 버킷리스트를 담은 아트북입니다. 서울의 골목과 문화를 경쾌한 일러스트와 함께 기록한 작업입니다.","카테고리 : 아트북;판형 : 148 × 210mm;페이지 : 64p;발행 : 2026"
book,2,SAVE FILE CLUB,2026,"게임 문화에서 영감을 받은 아트북입니다. 플레이어의 기억과 세이브 포인트를 은유로 삼아, 일상의 소중한 순간을 기록하는 방식에 대해 이야기합니다.","카테고리 : 아트북;판형 : 148 × 210mm;페이지 : 80p;발행 : 2026"
book,3,걱정을 접자,2026,"일상의 걱정과 불안을 종이접기처럼 접어 내려놓는 이야기를 담은 아트북입니다. 텍스트와 이미지의 균형 속에서 독자에게 작은 위로를 전합니다.","카테고리 : 아트북;판형 : 148 × 210mm;페이지 : 56p;발행 : 2026"
book,4,작품 제목,2025,"[목업 텍스트] 추후 실제 내용으로 교체될 예정입니다.","카테고리 : 아트북;판형 : 148 × 210mm;발행 : 2025"
book,5,작품 제목,2025,"[목업 텍스트] 추후 실제 내용으로 교체될 예정입니다.","카테고리 : 아트북;판형 : 148 × 210mm;발행 : 2025"
book,6,작품 제목,2025,"[목업 텍스트] 추후 실제 내용으로 교체될 예정입니다.","카테고리 : 아트북;판형 : 148 × 210mm;발행 : 2025"
